bucket;files;key;size;sizep
commoncrawl-crawl-002;87;2010/01/06/29/;8604999554;8.0 GiB
commoncrawl-crawl-002;151;2010/01/06/3/;15032004198;14.0 GiB
commoncrawl-crawl-002;166;2010/01/06/30/;16517587818;15.4 GiB
commoncrawl-crawl-002;59;2010/01/06/31/;5829604379;5.4 GiB
commoncrawl-crawl-002;128;2010/01/06/32/;12778947179;11.9 GiB
commoncrawl-crawl-002;142;2010/01/06/33/;14161226797;13.2 GiB
commoncrawl-crawl-002;146;2010/01/06/34/;14575699723;13.6 GiB
commoncrawl-crawl-002;155;2010/01/06/35/;15415475550;14.4 GiB
commoncrawl-crawl-002;85;2010/01/06/36/;8455332108;7.9 GiB
commoncrawl-crawl-002;145;2010/01/06/37/;14435694095;13.4 GiB
commoncrawl-crawl-002;147;2010/01/06/38/;14639657870;13.6 GiB
commoncrawl-crawl-002;69;2010/01/06/39/;6849848218;6.4 GiB
commoncrawl-crawl-002;165;2010/01/06/4/;16417948800;15.3 GiB
commoncrawl-crawl-002;145;2010/01/06/40/;14434060599;13.4 GiB
commoncrawl-crawl-002;77;2010/01/06/41/;7643630143;7.1 GiB
commoncrawl-crawl-002;36;2010/01/06/42/;3509187296;3.3 GiB
commoncrawl-crawl-002;38;2010/01/06/43/;3716717186;3.5 GiB
commoncrawl-crawl-002;84;2010/01/06/44/;8360965440;7.8 GiB
commoncrawl-crawl-002;88;2010/01/06/45/;8798447102;8.2 GiB
commoncrawl-crawl-002;139;2010/01/06/46/;13878798509;12.9 GiB
commoncrawl-crawl-002;123;2010/01/06/47/;12303517033;11.5 GiB
commoncrawl-crawl-002;157;2010/01/06/5/;15596891314;14.5 GiB
commoncrawl-crawl-002;159;2010/01/06/6/;15787239727;14.7 GiB
commoncrawl-crawl-002;146;2010/01/06/7/;14531218774;13.5 GiB
commoncrawl-crawl-002;126;2010/01/06/8/;12597329899;11.7 GiB
commoncrawl-crawl-002;143;2010/01/06/9/;14232330470;13.3 GiB
commoncrawl-crawl-002;70441;2010/01/07/;7004864037837;6.4 TiB
commoncrawl-crawl-002;1371;2010/01/07/0/;136255206339;126.9 GiB
commoncrawl-crawl-002;1506;2010/01/07/1/;149608923052;139.3 GiB
commoncrawl-crawl-002;1493;2010/01/07/10/;148526603804;138.3 GiB
commoncrawl-crawl-002;1645;2010/01/07/11/;163573624273;152.3 GiB
commoncrawl-crawl-002;1016;2010/01/07/12/;100761822496;93.8 GiB
commoncrawl-crawl-002;1326;2010/01/07/13/;131685260426;122.6 GiB
commoncrawl-crawl-002;1592;2010/01/07/14/;158484388487;147.6 GiB
commoncrawl-crawl-002;1683;2010/01/07/15/;167462581138;156.0 GiB
commoncrawl-crawl-002;1317;2010/01/07/16/;131026767226;122.0 GiB
commoncrawl-crawl-002;1735;2010/01/07/17/;172539542001;160.7 GiB
commoncrawl-crawl-002;1273;2010/01/07/18/;126361004201;117.7 GiB
commoncrawl-crawl-002;1391;2010/01/07/19/;138048575505;128.6 GiB
commoncrawl-crawl-002;1059;2010/01/07/2/;105055945514;97.8 GiB
commoncrawl-crawl-002;1254;2010/01/07/20/;124560858742;116.0 GiB
commoncrawl-crawl-002;1292;2010/01/07/21/;128566498699;119.7 GiB
commoncrawl-crawl-002;1417;2010/01/07/22/;140996842401;131.3 GiB
commoncrawl-crawl-002;1775;2010/01/07/23/;176603781407;164.5 GiB
commoncrawl-crawl-002;1006;2010/01/07/24/;99721383313;92.9 GiB
commoncrawl-crawl-002;1161;2010/01/07/25/;115154375758;107.2 GiB
commoncrawl-crawl-002;1594;2010/01/07/26/;158590552110;147.7 GiB
commoncrawl-crawl-002;1478;2010/01/07/27/;146914653917;136.8 GiB
commoncrawl-crawl-002;1936;2010/01/07/28/;192930933265;179.7 GiB
commoncrawl-crawl-002;1710;2010/01/07/29/;170176286199;158.5 GiB
commoncrawl-crawl-002;1243;2010/01/07/3/;123570287894;115.1 GiB
commoncrawl-crawl-002;1129;2010/01/07/30/;112317465926;104.6 GiB
commoncrawl-crawl-002;1438;2010/01/07/31/;142891627939;133.1 GiB
commoncrawl-crawl-002;1528;2010/01/07/32/;152209767535;141.8 GiB
commoncrawl-crawl-002;1399;2010/01/07/33/;139116528163;129.6 GiB
commoncrawl-crawl-002;1468;2010/01/07/34/;146045365736;136.0 GiB
commoncrawl-crawl-002;1992;2010/01/07/35/;198646420806;185.0 GiB
commoncrawl-crawl-002;1208;2010/01/07/36/;119943826794;111.7 GiB
commoncrawl-crawl-002;1091;2010/01/07/37/;108239588552;100.8 GiB
commoncrawl-crawl-002;1315;2010/01/07/38/;130509471441;121.5 GiB
commoncrawl-crawl-002;1157;2010/01/07/39/;115004634958;107.1 GiB
commoncrawl-crawl-002;1186;2010/01/07/4/;117809781832;109.7 GiB
commoncrawl-crawl-002;1313;2010/01/07/40/;130236624836;121.3 GiB
commoncrawl-crawl-002;1479;2010/01/07/41/;147025303673;136.9 GiB
commoncrawl-crawl-002;1277;2010/01/07/42/;126789707784;118.1 GiB
commoncrawl-crawl-002;1711;2010/01/07/43/;170473275664;158.8 GiB
commoncrawl-crawl-002;1560;2010/01/07/44/;155052911186;144.4 GiB
commoncrawl-crawl-002;1613;2010/01/07/45/;160438518092;149.4 GiB
commoncrawl-crawl-002;1310;2010/01/07/46/;130118918322;121.2 GiB
commoncrawl-crawl-002;2877;2010/01/07/47/;286918733922;267.2 GiB
commoncrawl-crawl-002;1496;2010/01/07/5/;148734159085;138.5 GiB
commoncrawl-crawl-002;1175;2010/01/07/6/;116821084817;108.8 GiB
commoncrawl-crawl-002;1622;2010/01/07/7/;161542947238;150.4 GiB
commoncrawl-crawl-002;2607;2010/01/07/8/;259869556100;242.0 GiB
commoncrawl-crawl-002;1217;2010/01/07/9/;120931119269;112.6 GiB
commoncrawl-crawl-002;47816;2010/02/;4780502848787;4.3 TiB
commoncrawl-crawl-002;47816;2010/02/16/;4780502848787;4.3 TiB
commoncrawl-crawl-002;792;2010/02/16/0/;79192226784;73.8 GiB
commoncrawl-crawl-002;1755;2010/02/16/1/;175445910606;163.4 GiB
commoncrawl-crawl-002;893;2010/02/16/10/;89320297652;83.2 GiB
commoncrawl-crawl-002;944;2010/02/16/11/;94406820287;87.9 GiB
commoncrawl-crawl-002;1280;2010/02/16/12/;127935033671;119.1 GiB
commoncrawl-crawl-002;1077;2010/02/16/13/;107629640261;100.2 GiB
commoncrawl-crawl-002;904;2010/02/16/14/;90415917361;84.2 GiB
commoncrawl-crawl-002;846;2010/02/16/15/;84619099715;78.8 GiB
commoncrawl-crawl-002;936;2010/02/16/16/;93547307520;87.1 GiB
commoncrawl-crawl-002;1252;2010/02/16/17/;125192833221;116.6 GiB
commoncrawl-crawl-002;760;2010/02/16/18/;76006873415;70.8 GiB
commoncrawl-crawl-002;1527;2010/02/16/19/;152713127851;142.2 GiB
commoncrawl-crawl-002;730;2010/02/16/2/;72919278924;67.9 GiB
commoncrawl-crawl-002;763;2010/02/16/20/;76311192059;71.1 GiB
commoncrawl-crawl-002;1178;2010/02/16/21/;117755359244;109.7 GiB
commoncrawl-crawl-002;1043;2010/02/16/22/;104247971070;97.1 GiB
commoncrawl-crawl-002;971;2010/02/16/23/;97103367156;90.4 GiB
commoncrawl-crawl-002;1195;2010/02/16/24/;119476894865;111.3 GiB
commoncrawl-crawl-002;953;2010/02/16/25/;95255317076;88.7 GiB
commoncrawl-crawl-002;759;2010/02/16/26/;75900854073;70.7 GiB
commoncrawl-crawl-002;1590;2010/02/16/27/;159011729811;148.1 GiB
commoncrawl-crawl-002;817;2010/02/16/28/;81725420263;76.1 GiB
commoncrawl-crawl-002;663;2010/02/16/29/;66230989863;61.7 GiB
commoncrawl-crawl-002;835;2010/02/16/3/;83507393079;77.8 GiB
commoncrawl-crawl-002;743;2010/02/16/30/;74255436198;69.2 GiB
commoncrawl-crawl-002;633;2010/02/16/31/;63237593947;58.9 GiB
commoncrawl-crawl-002;797;2010/02/16/32/;79648140946;74.2 GiB
commoncrawl-crawl-002;799;2010/02/16/33/;79845169963;74.4 GiB
commoncrawl-crawl-002;1157;2010/02/16/34/;115631499478;107.7 GiB
commoncrawl-crawl-002;870;2010/02/16/35/;86952186856;81.0 GiB
commoncrawl-crawl-002;1805;2010/02/16/36/;180534410933;168.1 GiB
commoncrawl-crawl-002;725;2010/02/16/37/;72442741867;67.5 GiB
commoncrawl-crawl-002;2145;2010/02/16/38/;214509088138;199.8 GiB
commoncrawl-crawl-002;701;2010/02/16/39/;70056518604;65.2 GiB
commoncrawl-crawl-002;841;2010/02/16/4/;84031610758;78.3 GiB
commoncrawl-crawl-002;732;2010/02/16/40/;73202968932;68.2 GiB
commoncrawl-crawl-002;2949;2010/02/16/41/;294913973523;274.7 GiB
commoncrawl-crawl-002;983;2010/02/16/42/;98263001558;91.5 GiB
commoncrawl-crawl-002;1141;2010/02/16/43/;114114482861;106.3 GiB
commoncrawl-crawl-002;1307;2010/02/16/44/;130688003845;121.7 GiB
commoncrawl-crawl-002;930;2010/02/16/45/;92979141615;86.6 GiB
commoncrawl-crawl-002;960;2010/02/16/5/;95933279555;89.3 GiB
commoncrawl-crawl-002;748;2010/02/16/6/;74789605194;69.7 GiB
commoncrawl-crawl-002;693;2010/02/16/7/;69225896130;64.5 GiB
commoncrawl-crawl-002;861;2010/02/16/8/;86057517043;80.1 GiB
commoncrawl-crawl-002;833;2010/02/16/9/;83319725016;77.6 GiB
commoncrawl-crawl-002;48897;2010/04/;4890921315892;4.4 TiB
commoncrawl-crawl-002;48897;2010/04/02/;4890921315892;4.4 TiB
commoncrawl-crawl-002;1044;2010/04/02/0/;104475672820;97.3 GiB
commoncrawl-crawl-002;1063;2010/04/02/1/;106289295540;99.0 GiB
commoncrawl-crawl-002;1038;2010/04/02/10/;103802213176;96.7 GiB
commoncrawl-crawl-002;1061;2010/04/02/11/;106146910557;98.9 GiB
commoncrawl-crawl-002;1076;2010/04/02/12/;107646304278;100.3 GiB
commoncrawl-crawl-002;1085;2010/04/02/13/;108501599809;101.0 GiB
commoncrawl-crawl-002;1037;2010/04/02/14/;103765402058;96.6 GiB
commoncrawl-crawl-002;1058;2010/04/02/15/;105797884282;98.5 GiB
commoncrawl-crawl-002;1067;2010/04/02/16/;106682307888;99.4 GiB
commoncrawl-crawl-002;1090;2010/04/02/17/;109022006998;101.5 GiB
commoncrawl-crawl-002;1062;2010/04/02/18/;106205207866;98.9 GiB
commoncrawl-crawl-002;1101;2010/04/02/19/;110162489577;102.6 GiB
commoncrawl-crawl-002;1032;2010/04/02/2/;103212828165;96.1 GiB
commoncrawl-crawl-002;1040;2010/04/02/20/;104018033308;96.9 GiB
commoncrawl-crawl-002;1045;2010/04/02/21/;104478091521;97.3 GiB
commoncrawl-crawl-002;1058;2010/04/02/22/;105840775755;98.6 GiB
commoncrawl-crawl-002;1071;2010/04/02/23/;107136401421;99.8 GiB
commoncrawl-crawl-002;1039;2010/04/02/24/;103889563145;96.8 GiB
commoncrawl-crawl-002;1075;2010/04/02/25/;107500646235;100.1 GiB
commoncrawl-crawl-002;1066;2010/04/02/26/;106679559969;99.4 GiB
commoncrawl-crawl-002;1107;2010/04/02/27/;110706120687;103.1 GiB
commoncrawl-crawl-002;1070;2010/04/02/28/;107069967581;99.7 GiB
commoncrawl-crawl-002;1077;2010/04/02/29/;107706806223;100.3 GiB
commoncrawl-crawl-002;1093;2010/04/02/3/;109358394422;101.8 GiB
commoncrawl-crawl-002;994;2010/04/02/30/;99424485319;92.6 GiB
commoncrawl-crawl-002;1063;2010/04/02/31/;106362664960;99.1 GiB
commoncrawl-crawl-002;1053;2010/04/02/32/;105374063409;98.1 GiB
commoncrawl-crawl-002;1072;2010/04/02/33/;107226620151;99.9 GiB
commoncrawl-crawl-002;1031;2010/04/02/34/;103124913967;96.0 GiB
commoncrawl-crawl-002;1056;2010/04/02/35/;105611439990;98.4 GiB
commoncrawl-crawl-002;1076;2010/04/02/36/;107667956190;100.3 GiB
commoncrawl-crawl-002;1097;2010/04/02/37/;109766277435;102.2 GiB
commoncrawl-crawl-002;1066;2010/04/02/38/;106579813108;99.3 GiB
commoncrawl-crawl-002;1063;2010/04/02/39/;106375983743;99.1 GiB
commoncrawl-crawl-002;1066;2010/04/02/4/;106583982405;99.3 GiB
commoncrawl-crawl-002;1051;2010/04/02/40/;105132800607;97.9 GiB
commoncrawl-crawl-002;1132;2010/04/02/41/;113248208381;105.5 GiB
commoncrawl-crawl-002;1054;2010/04/02/42/;105405217019;98.2 GiB
commoncrawl-crawl-002;1090;2010/04/02/43/;109008753121;101.5 GiB
commoncrawl-crawl-002;1050;2010/04/02/44/;105044822265;97.8 GiB
commoncrawl-crawl-002;1057;2010/04/02/45/;105705956853;98.4 GiB
commoncrawl-crawl-002;1045;2010/04/02/5/;104517184915;97.3 GiB
commoncrawl-crawl-002;1056;2010/04/02/6/;105624266028;98.4 GiB
commoncrawl-crawl-002;1064;2010/04/02/7/;106443512656;99.1 GiB
commoncrawl-crawl-002;1038;2010/04/02/8/;103777028312;96.6 GiB
commoncrawl-crawl-002;1068;2010/04/02/9/;106820881777;99.5 GiB
commoncrawl-crawl-002;39060;2010/08/;3908326302321;3.6 TiB
commoncrawl-crawl-002;39060;2010/08/09/;3908326302321;3.6 TiB
commoncrawl-crawl-002;1038;2010/08/09/0/;103831683264;96.7 GiB
commoncrawl-crawl-002;890;2010/08/09/1/;89047036902;82.9 GiB
commoncrawl-crawl-002;804;2010/08/09/10/;80491692038;75.0 GiB
commoncrawl-crawl-002;927;2010/08/09/11/;92795418432;86.4 GiB
commoncrawl-crawl-002;949;2010/08/09/12/;95004332893;88.5 GiB
commoncrawl-crawl-002;846;2010/08/09/13/;84670884103;78.9 GiB
commoncrawl-crawl-002;851;2010/08/09/14/;85153910347;79.3 GiB
commoncrawl-crawl-002;879;2010/08/09/15/;87930300273;81.9 GiB
commoncrawl-crawl-002;662;2010/08/09/16/;66271277713;61.7 GiB
commoncrawl-crawl-002;696;2010/08/09/17/;69616477773;64.8 GiB
commoncrawl-crawl-002;629;2010/08/09/18/;62934152141;58.6 GiB
commoncrawl-crawl-002;660;2010/08/09/19/;65981728171;61.5 GiB
commoncrawl-crawl-002;1090;2010/08/09/2/;109119386084;101.6 GiB
commoncrawl-crawl-002;905;2010/08/09/20/;90512273228;84.3 GiB
commoncrawl-crawl-002;654;2010/08/09/21/;65412182315;60.9 GiB
commoncrawl-crawl-002;969;2010/08/09/22/;96983139876;90.3 GiB
commoncrawl-crawl-002;948;2010/08/09/23/;94868033866;88.4 GiB
commoncrawl-crawl-002;875;2010/08/09/24/;87541155240;81.5 GiB
commoncrawl-crawl-002;812;2010/08/09/25/;81224113386;75.6 GiB
commoncrawl-crawl-002;909;2010/08/09/26/;90982882753;84.7 GiB
commoncrawl-crawl-002;907;2010/08/09/27/;90726087215;84.5 GiB
commoncrawl-crawl-002;976;2010/08/09/28/;97633963185;90.9 GiB
commoncrawl-crawl-002;757;2010/08/09/29/;75770215424;70.6 GiB
commoncrawl-crawl-002;854;2010/08/09/3/;85471061742;79.6 GiB
commoncrawl-crawl-002;705;2010/08/09/30/;70582341755;65.7 GiB
commoncrawl-crawl-002;1041;2010/08/09/31/;104166361080;97.0 GiB
commoncrawl-crawl-002;978;2010/08/09/32/;97849994035;91.1 GiB
commoncrawl-crawl-002;920;2010/08/09/33/;92042190133;85.7 GiB
commoncrawl-crawl-002;1035;2010/08/09/34/;103591852353;96.5 GiB
commoncrawl-crawl-002;957;2010/08/09/35/;95752791906;89.2 GiB
commoncrawl-crawl-002;949;2010/08/09/36/;94958346082;88.4 GiB
commoncrawl-crawl-002;778;2010/08/09/37/;77812470236;72.5 GiB
commoncrawl-crawl-002;740;2010/08/09/38/;74038161526;69.0 GiB
commoncrawl-crawl-002;705;2010/08/09/39/;70563228404;65.7 GiB
commoncrawl-crawl-002;755;2010/08/09/4/;75523483621;70.3 GiB
commoncrawl-crawl-002;709;2010/08/09/40/;70910905576;66.0 GiB
commoncrawl-crawl-002;717;2010/08/09/41/;71767786530;66.8 GiB
commoncrawl-crawl-002;868;2010/08/09/42/;86823978122;80.9 GiB
commoncrawl-crawl-002;808;2010/08/09/43/;80813384984;75.3 GiB
commoncrawl-crawl-002;873;2010/08/09/44/;87379881613;81.4 GiB
commoncrawl-crawl-002;693;2010/08/09/45/;69341282223;64.6 GiB
commoncrawl-crawl-002;772;2010/08/09/5/;77195321930;71.9 GiB
commoncrawl-crawl-002;1028;2010/08/09/6/;102902341955;95.8 GiB
commoncrawl-crawl-002;841;2010/08/09/7/;84133592822;78.4 GiB
commoncrawl-crawl-002;1067;2010/08/09/8/;106795592981;99.5 GiB
commoncrawl-crawl-002;634;2010/08/09/9/;63407624090;59.1 GiB
commoncrawl-crawl-002;66191;2010/09/;6623530103474;6.0 TiB
commoncrawl-crawl-002;36245;2010/09/24/;3628048919406;3.3 TiB
commoncrawl-crawl-002;901;2010/09/24/0/;90204653767;84.0 GiB
commoncrawl-crawl-002;732;2010/09/24/1/;73284964912;68.3 GiB
commoncrawl-crawl-002;801;2010/09/24/10/;80174996883;74.7 GiB
commoncrawl-crawl-002;810;2010/09/24/11/;81067670672;75.5 GiB
commoncrawl-crawl-002;923;2010/09/24/12/;92400805162;86.1 GiB
commoncrawl-crawl-002;587;2010/09/24/13/;58739760610;54.7 GiB
commoncrawl-crawl-002;811;2010/09/24/14/;81186659943;75.6 GiB
commoncrawl-crawl-002;722;2010/09/24/15/;72258087087;67.3 GiB
commoncrawl-crawl-002;848;2010/09/24/16/;84872695774;79.0 GiB
commoncrawl-crawl-002;960;2010/09/24/17/;96110354704;89.5 GiB
commoncrawl-crawl-002;733;2010/09/24/18/;73374585119;68.3 GiB
commoncrawl-crawl-002;613;2010/09/24/19/;61346044380;57.1 GiB
commoncrawl-crawl-002;834;2010/09/24/2/;83469274382;77.7 GiB
commoncrawl-crawl-002;661;2010/09/24/20/;66150306847;61.6 GiB
commoncrawl-crawl-002;764;2010/09/24/21/;76460293609;71.2 GiB
commoncrawl-crawl-002;790;2010/09/24/22/;79068239798;73.6 GiB
commoncrawl-crawl-002;682;2010/09/24/23/;68249826461;63.6 GiB
